<LINE 1>
Injongo	i[NPrePre9]-n[BPre9]-jongo[NStem]
nezingamatyala	na[AdvPre]-ezi[RelConc10]-ng[CopPre]-a[NPrePre6]-ma[BPre6]-tyala[NStem]
equmrhu	a[PossConc6]-i[NPrePre5]-li[BPre5]-qumrhu[NStem]
.	.[Punc]
<LINE 76>
Ukubangaba	ukuba[Conj]-ngaba[Interrog]
inkundla	i[NPrePre9]-n[BPre9]-kundla[NStem]
igqiba	i[SC9]-gqib[VRoot]-a[VerbTerm]
ekubeni	e[LocPre]-ukuba[Conj]-ini[LocSuf]
iphelise	i[SC9]-phel[VRoot]-is[CausExt]-e[VerbTerm]
iqumrhu	i[NPrePre5]-li[BPre5]-qumrhu[NStem]
okanye	okanye[Conj]
iqumrhu	i[NPrePre5]-li[BPre5]-qumrhu[NStem]
lokubambisa	la[PossConc5]-u[NPrePre15]-ku[BPre15]-bamb[VRoot]-is[CausExt]-a[VerbTerm]
,	,[Punc]
iyakwenza	i[SC9]-ya[Fut]-ku[InfPre]-enz[VRoot]-a[VerbTerm]
isigqibo	i[NPrePre7]-si[BPre7]-gqibo[NStem]
malunga	malunga[Adv]
nendlela	na[AdvPre]-i[NPrePre9]-n[BPre9]-dlela[NStem]
impahla	i[NPrePre9]-n[BPre9]-pahla[NStem]
nezinto	na[AdvPre]-i[NPrePre10]-zin[BPre10]-to[NStem]
zequmrhu	za[PossConc10]-i[NPrePre5]-li[BPre5]-qumrhu[NStem]
eziyakwahlulwa	ezi[RelConc10]-ya[Fut]-ku[InfPre]-ahlul[VRoot]-w[PassExt]-a[VerbTerm]
ngayo	nga[AdvPre]-yo[PronStem9]
ngokulinganayo	nga[AdvPre]-oku[RelConc15]-lingan[VRoot]-a[VerbTerm]-yo[RelSuf]
nangokufanelekileyo	na[AdvPre]-nga[AdvPre]-oku[RelConc15]-fanel[VRoot]-ek[NeutExt]-ile[Perf]-yo[RelSuf]
.	.[Punc]
<LINE 77>
Inkundla	i[NPrePre9]-n[BPre9]-kundla[NStem]
iyakuziqwalasela	i[SC9]-ya[Fut]-ku[InfPre]-zi[OC8]-qwalasel[VRoot]-a[VerbTerm]
naziphina	na[AdvPre]-zi[EnumConc8]-phi[EnumStem]-na[Interrog]
iziphakamiso	i[NPrePre8]-zi[BPre8]-phakamiso[NStem]
ezinokuba	ezi[RelConc10]-na[AdvPre]-ukuba[Conj]
zenziwe	zi[SC10]-enz[VRoot]-iw[PassExt]-e[VerbTerm]
nguMqondisi-Jikelele	ng[CopPre]-u[NPrePre1]-m[BPre1]-qondisi[NStem]-jikelele[Adv]
malunga	malunga[Adv]
nokwabiwa	na[AdvPre]-u[NPrePre15]-ku[BPre15]-ab[VRoot]-iw[PassExt]-a[VerbTerm]
kwempahla	kwa[PossConc15]-i[NPrePre9]-n[BPre9]-pahla[NStem]
nezinto	na[AdvPre]-i[NPrePre10]-zin[BPre10]-to[NStem]
.	.[Punc]
<LINE 78>
Ukubangaba	ukuba[Conj]-ngaba[Interrog]
uMqondisi-Jikelele	u[NPrePre1]-m[BPre1]-qondisi[NStem]-jikelele[Adv]
okanye	okanye[Conj]
iqumrhu	i[NPrePre5]-li[BPre5]-qumrhu[NStem]
okanye	okanye[Conj]
iqumrhu	i[NPrePre5]-li[BPre5]-qumrhu[NStem]
lokubambisa	la[PossConc5]-u[NPrePre15]-ku[BPre15]-bamb[VRoot]-is[CausExt]-a[VerbTerm]
,	,[Punc]
naliphina	na[AdvPre]-li[EnumConc5]-phi[EnumStem]-na[Interrog]
ilungu	i[NPrePre5]-li[BPre5]-lungu[NStem]
lequmrhu	la[PossConc5]-i[NPrePre5]-li[BPre5]-qumrhu[NStem]
okanye	okanye[Conj]
nawuphina	na[AdvPre]-wu[EnumConc1]-phi[EnumStem]-na[Interrog]
omnye	om[AdjPref1]-nye[AdjStem]
umntu	u[NPrePre1]-m[BPre1]-ntu[NStem]
onomnqweno	o[RelConc1]-na[CopPre]-u[NPrePre3]-m[BPre3]-nqweno[NStem]
,	,[Punc]
wenza	u[SC1]-enz[VRoot]-a[VerbTerm]
isicelo	i[NPrePre7]-si[BPre7]-celo[NStem]
sokuba	sa[PossConc7]-ukuba[Conj]
iqumrhu	i[NPrePre5]-li[BPre5]-qumrhu[NStem]
okanye	okanye[Conj]
iqumrhu	i[NPrePre5]-li[BPre5]-qumrhu[NStem]
lokubambisa	la[PossConc5]-u[NPrePre15]-ku[BPre15]-bamb[VRoot]-is[CausExt]-a[VerbTerm]
lifakwe	li[SC5]-fak[VRoot]-w[PassExt]-e[VerbTerm]
phantsi	phantsi[Adv]
kolawulo	kwa[PossConc15]-u[NPrePre11]-lu[BPre11]-lawulo[NStem]
lwasemthethweni	lwa[PossConc11]-s[PreLoc-s]-e[LocPre]-u[NPrePre3]-m[BPre3]-thetho[NStem]-ini[LocSuf]
loMqondisi-Jikelele	lwa[PossConc11]-u[NPrePre11]-m[BPre1]-qondisi[NStem]-jikelele[Adv]
okanye	okanye[Conj]
lipheliswe	li[SC5]-phel[VRoot]-is[CausExt]-w[PassExt]-e[VerbTerm]
,	,[Punc]
UMphathiswa	u[NPrePre1]-m[BPre1]-phathiswa[NStem]
angamisela	a[SC1]-nga[Pot]-(i)m[VRoot]-is[CausExt]-el[ApplExt]-a[VerbTerm]
imigaqo	i[NPrePre4]-mi[BPre4]-gaqo[NStem]
ekuyakulawulwa	e[RelConc4]-ku[SCIndef]-ya[Fut]-ku[InfPre]-lawul[VRoot]-w[PassExt]-a[VerbTerm]
ngayo	nga[AdvPre]-yo[PronStem4]
iqumrhu	i[NPrePre5]-li[BPre5]-qumrhu[NStem]
okanye	okanye[Conj]
iqumrhu	i[NPrePre5]-li[BPre5]-qumrhu[NStem]
lokubambisa	la[PossConc5]-u[NPrePre15]-ku[BPre15]-bamb[VRoot]-is[CausExt]-a[VerbTerm]
nguMqondisi-Jikelele	ng[CopPre]-u[NPrePre1]-m[BPre1]-qondisi[NStem]-jikelele[Adv]
okanye	okanye[Conj]
eliyakupheliswa	eli[RelConc5]-ya[Fut]-ku[InfPre]-phel[VRoot]-is[CausExt]-w[PassExt]-a[VerbTerm]
ngayo	nga[AdvPre]-yo[PronStem4]
.	.[Punc]
<LINE 79>
UMphathiswa	u[NPrePre1]-m[BPre1]-phathiswa[NStem]
angachaza	a[SC1]-nga[Pot]-chaz[VRoot]-a[VerbTerm]
namandla	na[AdvPre]-a[NPrePre6]-ma[BPre6]-ndla[NStem]
nemisebenzi	na[AdvPre]-i[NPrePre4]-mi[BPre4]-sebenzi[NStem]
yoMqondisi-Jikelele	ya[PossConc4]-u[NPrePre1]-m[BPre1]-qondisi[NStem]-jikelele[Adv]
,	,[Punc]
iGosa	i[NPrePre5]-li[BPre5]-gosa[NStem]
loBhaliso	la[PossConc5]-u[NPrePre11]-lu[BPre11]-bhaliso[NStem]
,	,[Punc]
iqumrhu	i[NPrePre5]-li[BPre5]-qumrhu[NStem]
,	,[Punc]
amalungu	a[NPrePre6]-ma[BPre6]-lungu[NStem]
kunye	kunye[Conj]
nababandakanyeki	na[AdvPre]-a[NPrePre2]-ba[BPre2]-bandakanyeki[NStem]
abanomnqweno	aba[RelConc2]-na[CopPre]-u[NPrePre3]-m[BPre3]-nqweno[NStem]
kwezi	ku[LocPre]-ezi[Dem10][Pos1]
meko	meko[NStem]
.	.[Punc]
<LINE 80>
Kwimeko	ku[LocPre]-i[NPrePre9]-meko[NStem]
yenkampani	ya[PossConc9]-i[NPrePre9]-n[BPre9]-kampani[NStem]
okanye	okanye[Conj]
yequmrhu	ya[PossConc9]-i[NPrePre5]-li[BPre5]-qumrhu[NStem]
elingavulelekanga	eli[RelConc5]-nga[NegExt]-vul[VRoot]-el[ApplExt]-ek[NeutExt]-a[VerbTerm]-nga[NegExt]
ekuthiwa	e[RelConc9]-ku[SCIndef]-th[VRoot]-iw[PassExt]-a[VerbTerm]
yi-close	y[CopPre]-i[NPrePre9]-close[Foreign]
corporation	corporation[Foreign]
(	([Punc]
CC	CC[Abbr]
)	)[Punc]
,	,[Punc]
nawuphina	na[AdvPre]-wu[EnumConc1]-phi[EnumStem]-na[Interrog]
umbandakanyeki	u[NPrePre1]-m[BPre1]-bandakanyeki[NStem]
onomnqweno	o[RelConc1]-na[CopPre]-u[NPrePre3]-m[BPre3]-nqweno[NStem]
,	,[Punc]
umqondisi	u[NPrePre1]-m[BPre1]-qondisi[NStem]
okanye	okanye[Conj]
umphicothi	u[NPrePre1]-m[BPre1]-phicothi[NStem]
weencwadi	wa[PossConc1]-i[NPrePre10]-zin[BPre10]-cwadi[NStem]
zemali	za[PossConc10]-i[NPrePre9]-mali[NStem]
wenkampani	wa[PossConc1]-i[NPrePre9]-n[BPre9]-kampani[NStem]
,	,[Punc]
i-South	i[NPrePre9]-south[Foreign]
African	African[Foreign]
Revenue	Revenue[Foreign]
Service	Service[Foreign]
(	([Punc]
SARS	SARS[Abbr]
)	)[Punc]
okanye	okanye[Conj]
uMphathi	u[NPrePre1]-m[BPre1]-phathi[NStem]
woBhaliso	wa[PossConc1]-u[NPrePre11]-lu[BPre11]-bhaliso[NStem]
lweeNkampani	lwa[PossConc11]-i[NPrePre10]-zin[BPre10]-kampani[NStem]
,	,[Punc]
angenza	a[SC1]-nga[Pot]-enz[VRoot]-a[VerbTerm]
isicelo	i[NPrePre7]-si[BPre7]-celo[NStem]
sokuba	sa[PossConc7]-ukuba[Conj]
inkampani	i[NPrePre9]-n[BPre9]-kampani[NStem]
okanye	okanye[Conj]
i-CC	i[NPrePre9]-CC[Abbr]
icinywe	i[SC9]-cim[VRoot]-w[PassExt]-e[VerbTerm]
kubhaliso	ku[LocPre]-u[NPrePre11]-lu[BPre11]-bhaliso[NStem]
.	.[Punc]
<LINE 81>
Umnyinyiva	u[NPrePre3]-m[BPre3]-nyinyiva[NStem]
wokubonelela	wa[PossConc3]-u[NPrePre15]-ku[BPre15]-bon[VRoot]-el[ApplExt]-el[ApplExt]-a[VerbTerm]
ngerhafu	nga[AdvPre]-i[NPrePre9]-rhafu[NStem]
unikwa	u[SC3]-nik[VRoot]-w[PassExt]-a[VerbTerm]
imibutho	i[NPrePre4]-mi[BPre4]-butho[NStem]
engajonganga	e[RelConc4]-nga[NegExt]-jong[VRoot]-a[VerbTerm]-nga[NegExt]
kwenza	ku[BPre15]-enz[VRoot]-a[VerbTerm]
nzuzo	n[BPre9]-zuzo[NStem]
,	,[Punc]
esekelwe	e[RelConc9]-sek[VRoot]-el[ApplExt]-w[PassExt]-e[VerbTerm]
yinzuzo	y[CopPre]-i[NPrePre9]-n[BPre9]-zuzo[NStem]
kuluntu	ku[LocPre]-u[NPrePre11]-lu[BPre11]-ntu[NStem]
ngokubanzi	nga[AdvPre]-oku[RelConc15]-banzi[RelStem]
.	.[Punc]
<LINE 82>
Nangona	nangona[Conj]
kunjalo	ku[CopPre]-njalo[Adv]
,	,[Punc]
lo	lo[Dem3][Pos1]
mnyenyevu	m[BPre3]-nyenyevu[NStem]
wokubonelela	wa[PossConc3]-u[NPrePre15]-ku[BPre15]-bon[VRoot]-el[ApplExt]-el[ApplExt]-a[VerbTerm]
uyakufumaneka	u[SC3]-ya[Fut]-ku[InfPre]-fuman[VRoot]-ek[NeutExt]-a[VerbTerm]
kuphela	kuphela[Adv]
kwimibutho	ku[LocPre]-i[NPrePre4]-mi[BPre4]-butho[NStem]
ehambisana	e[RelConc4]-hamb[VRoot]-is[CausExt]-an[RecipExt]-a[VerbTerm]
nemimiselo	na[AdvPre]-i[NPrePre4]-mi[BPre4]-miselo[NStem]
yoMthetho	ya[PossConc4]-u[NPrePre3]-m[BPre3]-thetho[NStem]
weMibutho	wa[PossConc3]-i[NPrePre4]-mi[BPre4]-butho[NStem]
eNgajonganga	e[RelConc4]-nga[NegExt]-jong[VRoot]-a[VerbTerm]-nga[NegExt]
kwenza	ku[BPre15]-enz[VRoot]-a[VerbTerm]
Nzuzo	n[BPre9]-zuzo[NStem]
,	,[Punc]
kunye	kunye[Conj]
nemithetho	na[AdvPre]-i[NPrePre4]-mi[BPre4]-thetho[NStem]
eyayamene	e[RelConc4]-ya[Pres]-ayam[VRoot]-an[RecipExt]-e[VerbTerm]
nawo	na[AdvPre]-wo[PronStem3]
.	.[Punc]
<LINE 83>
Imibutho	i[NPrePre4]-mi[BPre4]-butho[NStem]
enqwenela	e[RelConc4]-nqwenel[VRoot]-a[VerbTerm]
ukwenza	u[NPrePre15]-ku[BPre15]-enz[VRoot]-a[VerbTerm]
izicelo	i[NPrePre8]-zi[BPre8]-celo[NStem]
zomnyinyiva	za[PossConc8]-u[NPrePre3]-m[BPre3]-nyinyiva[NStem]
wokungabandakanywa	wa[PossConc3]-u[NPrePre15]-ku[BPre15]-nga[NegExt]-bandakany[VRoot]-w[PassExt]-a[VerbTerm]
kufanele	ku[SC15]-fanel[VRoot]-e[VerbTerm]
ziwele	zi[SC8]-wel[VRoot]-e[VerbTerm]
phantsi	phantsi[Adv]
kwelinye	kwa[PossConc15]-eli[AdjPref5]-nye[AdjStem]
lala	la[PossConc5]-la[Dem5][Pos1]
macandelo	ma[BPre6]-candelo[NStem]
alandelayo	a[RelConc6]-landel[VRoot]-a[VerbTerm]-yo[RelSuf]
:	:[Punc]
<LINE 84>
Inkampani	i[NPrePre9]-n[BPre9]-kampani[NStem]
efakwe	e[RelConc9]-fak[VRoot]-w[PassExt]-e[VerbTerm]
phantsi	phantsi[Adv]
kweCandelo	kwa[PossConc15]-i[NPrePre5]-li[BPre5]-candelo[NStem]
21	21[Num]
loMthetho	la[PossConc5]-u[NPrePre3]-m[BPre3]-thetho[NStem]
weeNkampani	wa[PossConc1]-i[NPrePre10]-zin[BPre10]-kampani[NStem]
Inkampani	i[NPrePre9]-n[BPre9]-kampani[NStem]
yeCandelo	ya[PossConc9]-i[NPrePre5]-li[BPre5]-candelo[NStem]
21	21[Num]
inemimiselo	i[CopPre]-na[CopPre]-i[NPrePre4]-mi[BPre4]-miselo[NStem]
kunye	kunye[Conj]
nemigaqo	na[AdvPre]-i[NPrePre4]-mi[BPre4]-gaqo[NStem]
yokumanyana	ya[PossConc4]-u[NPrePre15]-ku[BPre15]-many[VRoot]-an[RecipExt]-a[VerbTerm]
njengemiqulu	njenga[AdvPre]-i[NPrePre4]-mi[BPre4]-qulu[NStem]
yokuyiseka	ya[PossConc4]-u[NPrePre15]-ku[BPre15]-yi[OC4]-sek[VRoot]-a[VerbTerm]
kwaye	kwaye[Conj]
ibhalisiwe	i[SC4]-bhal[VRoot]-is[CausExt]-iw[PassExt]-e[VerbTerm]
kuMphathi	ku[LocPre]-u[NPrePre1]-m[BPre1]-phathi[NStem]
woBhaliso	wa[PossConc1]-u[NPrePre11]-lu[BPre11]-bhaliso[NStem]
lweeNkampani	lwa[PossConc11]-i[NPrePre10]-zin[BPre10]-kampani[NStem]
.	.[Punc]
<LINE 85>
Iqumrhu	i[NPrePre5]-li[BPre5]-qumrhu[NStem]
lokugcina	la[PossConc5]-u[NPrePre15]-ku[BPre15]-gcin[VRoot]-a[VerbTerm]
ngentembeko	nga[AdvPre]-i[NPrePre9]-n[BPre9]-tembeko[NStem]
elinomqulu	eli[RelConc5]-na[CopPre]-u[NPrePre3]-m[BPre3]-qulu[NStem]
wokuliseka	wa[PossConc3]-u[NPrePre15]-ku[BPre15]-li[OC5]-sek[VRoot]-a[VerbTerm]
kunye	kunye[Conj]
nencwadi	na[AdvPre]-i[NPrePre9]-n[BPre9]-cwadi[NStem]
yesivumelwano	ya[PossConc9]-i[NPrePre7]-si[BPre7]-vumelwano[NStem]
sasemthethweni	sa[PossConc7]-s[PreLoc-s]-e[LocPre]-u[NPrePre3]-m[BPre3]-thetho[NStem]-ini[LocSuf]
sentembeko	sa[PossConc7]-i[NPrePre9]-n[BPre9]-tembeko[NStem]
,	,[Punc]
esibhaliswe	esi[RelConc7]-bhal[VRoot]-is[CausExt]-w[PassExt]-e[VerbTerm]
kwiNqununu	ku[LocPre]-i[NPrePre9]-n[BPre9]-qununu[NStem]
yeNkundla	ya[PossConc9]-i[NPrePre9]-n[BPre9]-kundla[NStem]
ePhezulu	e[RelConc9]-phezulu[Adv]
.	.[Punc]
<LINE 86>
Iqumrhu	i[NPrePre5]-li[BPre5]-qumrhu[NStem]
labantu	la[PossConc5]-a[NPrePre2]-ba[BPre2]-ntu[NStem]
.	.[Punc]
<LINE 87>
Iqumrhu	i[NPrePre5]-li[BPre5]-qumrhu[NStem]
labantu	la[PossConc5]-a[NPrePre2]-ba[BPre2]-ntu[NStem]
abahlangene	aba[RelConc2]-hlangan[VRoot]-e[VerbTerm]
ngokuzithandela	nga[AdvPre]-u[NPrePre15]-ku[BPre15]-zi[ReflPre]-thand[VRoot]-el[ApplExt]-a[VerbTerm]
elilawulwa	eli[RelConc5]-lawul[VRoot]-w[PassExt]-a[VerbTerm]
ngumgaqo-siseko	ng[CopPre]-u[NPrePre3]-m[BPre3]-gaqo[NStem]-si[BPre7]-seko[NStem]
.	.[Punc]
<LINE 88>
Xa	xa[Conj]
imiqulu	i[NPrePre4]-mi[BPre4]-qulu[NStem]
yokuseka	ya[PossConc4]-u[NPrePre15]-ku[BPre15]-sek[VRoot]-a[VerbTerm]
ingahambisani	i[SC4]-nga[NegExt]-hamb[VRoot]-is[CausExt]-an[RecipExt]-i[VerbTerm]
nemimiselo	na[AdvPre]-i[NPrePre4]-mi[BPre4]-miselo[NStem]
yeCandelo	ya[PossConc4]-i[NPrePre5]-li[BPre5]-candelo[NStem]
30	30[Num]
loMthetho	la[PossConc5]-u[NPrePre3]-m[BPre3]-thetho[NStem]
weMibutho	wa[PossConc3]-i[NPrePre4]-mi[BPre4]-butho[NStem]
eNgajonganga	e[RelConc4]-nga[NegExt]-jong[VRoot]-a[VerbTerm]-nga[NegExt]
kwenza	ku[BPre15]-enz[VRoot]-a[VerbTerm]
Nzuzo	n[BPre9]-zuzo[NStem]
,	,[Punc]
isicelo	i[NPrePre7]-si[BPre7]-celo[NStem]
kufuneka	ku[SCIndef]-funek[VRoot]-a[VerbTerm]
sikhatshwe	si[SC7]-khaph[VRoot]-w[PassExt]-e[VerbTerm]
sisibhengezo	s[CopPre]-i[NPrePre7]-si[BPre7]-bhengezo[NStem]
sesithembiso	sa[PossConc7]-i[NPrePre7]-si[BPre7]-thembiso[NStem]
esibhaliweyo	esi[RelConc7]-bhal[VRoot]-iw[PassExt]-e[VerbTerm]-yo[RelSuf]
esisayinwe	esi[RelConc7]-sayin[VRoot]-w[PassExt]-e[VerbTerm]
ngumenzi-sicelo	ng[CopPre]-u[NPrePre1]-m[BPre1]-enzi[NStem]-si[BPre7]-celo[NStem]
.	.[Punc]
<LINE 89>
Uyakuthi	u[NPrePre3]-ya[Fut]-ku[InfPre]-th[VRoot]-i[VerbTerm]
ke	ke[Conj]
umnyinyiva	u[NPrePre3]-m[BPre3]-nyinyiva[NStem]
wangaphambili	wa[PossConc3]-nga[AdvPre]-phambili[Adv]
uqhubeke	u[SC3]-qhub[VRoot]-ek[NeutExt]-e[VerbTerm]
ukusebenza	u[NPrePre15]-ku[BPre15]-sebenz[VRoot]-a[VerbTerm]
kude	ku[SC15]-de[AuxVStem]
kube	ku[SC15]-be[VCop]
leloxesha	l[CopPre]-elo[Dem5][Pos2]-xesha[NStem]
apho	apho[Adv]
umenzi-sicelo	u[NPrePre1]-m[BPre1]-enzi[NStem]-si[BPre7]-celo[NStem]
ayakube	a[SC1]-ya[Fut]-ku[InfPre]-be[VCop]
azisiwe	a[SC1]-az[VRoot]-is[CausExt]-iw[PassExt]-e[VerbTerm]
yi-South	y[CopPre]-i[NPrePre9]-south[Foreign]
African	African[Foreign]
Revenue	Revenue[Foreign]
Service	Service[Foreign]
(	([Punc]
SARS	SARS[Abbr]
)	)[Punc]
ngesigqibo	nga[AdvPre]-i[NPrePre7]-si[BPre7]-gqibo[NStem]
ngokomthetho	nga[AdvPre]-oko[AdvPre]-u[NPrePre3]-m[BPre3]-thetho[NStem]
omtsha	om[AdjPref3]-tsha[AdjStem]
.	.[Punc]
<LINE 90>
Imibutho	i[NPrePre4]-mi[BPre4]-butho[NStem]
okungokunje	oku[RelConc15]-ngoku[Adv]-nje[Adv]
enganikwanga	e[RelConc4]-nga[NegExt]-nik[VRoot]-w[PassExt]-a[VerbTerm]-nga[NegExt]
umnyinyiva	u[NPrePre3]-m[BPre3]-nyinyiva[NStem]
ogunyazisiweyo	o[RelConc3]-gunyaz[VRoot]-is[CausExt]-iw[PassExt]-e[VerbTerm]-yo[RelSuf]
wokungabandakanywa	wa[PossConc3]-u[NPrePre15]-ku[BPre15]-nga[NegExt]-bandakany[VRoot]-w[PassExt]-a[VerbTerm]
kwirhafu	ku[LocPre]-i[NPrePre9]-rhafu[NStem]
yengeniso-mali	ya[PossConc9]-i[NPrePre9]-ngeniso[NStem]-mali[NStem]
,	,[Punc]
ingathumela	i[SC9]-nga[Pot]-thum[VRoot]-el[ApplExt]-a[VerbTerm]
ifom	i[NPrePre9]-fom[NStem]
yesicelo	ya[PossConc9]-i[NPrePre7]-si[BPre7]-celo[NStem]
egcwalisiweyo	e[RelConc9]-gcwal[VRoot]-is[CausExt]-iw[PassExt]-e[VerbTerm]-yo[RelSuf]
ehamba	e[RelConc9]-hamb[VRoot]-a[VerbTerm]
nemiqulu	na[AdvPre]-i[NPrePre4]-mi[BPre4]-qulu[NStem]
yokuxhasa	ya[PossConc4]-u[NPrePre15]-ku[BPre15]-xhas[VRoot]-a[VerbTerm]
eyimfuneko	e[RelConc4]-y[CopPre]-i[NPrePre9]-n[BPre9]-funeko[NStem]
,	,[Punc]
ndawonye	n[BPre9]-dawo[NStem]-nye[AdjStem]
nesibhengezo	na[AdvPre]-i[NPrePre7]-si[BPre7]-bhengezo[NStem]
sesithembiso	sa[PossConc7]-i[NPrePre7]-si[BPre7]-thembiso[NStem]
esibhaliweyo	esi[RelConc7]-bhal[VRoot]-iw[PassExt]-e[VerbTerm]-yo[RelSuf]
nesisayiniweyo	na[AdvPre]-esi[RelConc7]-sayin[VRoot]-iw[PassExt]-e[VerbTerm]-yo[RelSuf]
,	,[Punc]
apho	apho[Adv]
abantu	a[NPrePre2]-ba[BPre2]-ntu[NStem]
abenza	aba[RelConc2]-enz[VRoot]-a[VerbTerm]
lo	lo[Dem3][Pos1]
msebenzi	m[BPre3]-sebenzi[NStem]
ngentembeko	nga[AdvPre]-i[NPrePre9]-n[BPre9]-tembeko[NStem]
bathembisa	ba[SC2]-themb[VRoot]-is[CausExt]-a[VerbTerm]
ngokuhambisana	nga[AdvPre]-u[NPrePre15]-ku[BPre15]-hamb[VRoot]-is[CausExt]-an[RecipExt]-a[VerbTerm]
nemimiselo	na[AdvPre]-i[NPrePre4]-mi[BPre4]-miselo[NStem]
yeCandelo	ya[PossConc4]-i[NPrePre5]-li[BPre5]-candelo[NStem]
30	30[Num]
loMthetho	la[PossConc5]-u[NPrePre3]-m[BPre3]-thetho[NStem]
weMibutho	wa[PossConc3]-i[NPrePre4]-mi[BPre4]-butho[NStem]
eNgajonganga	e[RelConc4]-nga[NegExt]-jong[VRoot]-a[VerbTerm]-nga[NegExt]
kwenza	ku[BPre15]-enz[VRoot]-a[VerbTerm]
Nzuzo	n[BPre9]-zuzo[NStem]
.	.[Punc]
<LINE 91>
Le	le[Dem4][Pos1]
miqulu	mi[BPre4]-qulu[NStem]
yokuxhasa	ya[PossConc4]-u[NPrePre15]-ku[BPre15]-xhas[VRoot]-a[VerbTerm]
ilandelayo	i[SC4]-landel[VRoot]-a[VerbTerm]-yo[RelSuf]
kufuneka	ku[SCIndef]-funek[VRoot]-a[VerbTerm]
ikhaphe	i[SC4]-khaph[VRoot]-e[VerbTerm]
isicelo	i[NPrePre7]-si[BPre7]-celo[NStem]
:	:[Punc]
<LINE 92>
inkampani	i[NPrePre9]-n[BPre9]-kampani[NStem]
:	:[Punc]
Faka	fak[VRoot]-a[VerbTerm]
ikopi	i[NPrePre9]-kopi[NStem]
yeMimiselo	ya[PossConc9]-i[NPrePre4]-mi[BPre4]-miselo[NStem]
kunye	kunye[Conj]
neMigaqo	na[AdvPre]-i[NPrePre4]-mi[BPre4]-gaqo[NStem]
yokuManyana	ya[PossConc4]-u[NPrePre15]-ku[BPre15]-many[VRoot]-an[RecipExt]-a[VerbTerm]
(	([Punc]
ebandakanya	e[RelConc4]-bandakany[VRoot]-a[VerbTerm]
iikopi	i[NPrePre10]-zi[BPre10]-kopi[NStem]
zazo	za[PossConc10]-zo[AbsPron10]
zonke	zo[QuantConc10]-nke[QuantStem]
izindululo	i[NPrePre8]-zi[BPre8]-ndululo[NStem]
ezizodwa	ezi[RelConc8]-zo[QuantConc8]-dwa[QuantStem]
ezibhalisiweyo	ezi[RelConc8]-bhal[VRoot]-is[CausExt]-iw[PassExt]-e[VerbTerm]-yo[RelSuf]
ezilungisa	ezi[RelConc8]-lungis[VRoot]-a[VerbTerm]
imimiselo	i[NPrePre4]-mi[BPre4]-miselo[NStem]
kunye	kunye[Conj]
nemigaqo	na[AdvPre]-i[NPrePre4]-mi[BPre4]-gaqo[NStem]
)	)[Punc]
<LINE 93>
iqumrhu	i[NPrePre5]-li[BPre5]-qumrhu[NStem]
lokugcina	la[PossConc5]-u[NPrePre15]-ku[BPre15]-gcin[VRoot]-a[VerbTerm]
ngentembeko	nga[AdvPre]-i[NPrePre9]-n[BPre9]-tembeko[NStem]
:	:[Punc]
Faka	fak[VRoot]-a[VerbTerm]
ikopi	i[NPrePre9]-kopi[NStem]
yeencwadi	ya[PossConc9]-i[NPrePre10]-zin[BPre10]-cwadi[NStem]
zezivumelwano	za[PossConc10]-i[NPrePre8]-zi[BPre8]-vumelwano[NStem]
zasemthethweni	za[PossConc10]-s[PreLoc-s]-e[LocPre]-u[NPrePre3]-m[BPre3]-thetho[NStem]-ini[LocSuf]
zentembeko	za[PossConc8]-i[NPrePre9]-n[BPre9]-tembeko[NStem]
kunye	kunye[Conj]
nazo	na[AdvPre]-zo[AbsPron10]
naziphina	na[AdvPre]-zi[EnumConc8]-phi[EnumStem]-na[Interrog]
iincwadi	i[NPrePre10]-zin[BPre10]-cwadi[NStem]
zezivumelwano	za[PossConc10]-i[NPrePre8]-zi[BPre8]-vumelwano[NStem]
zasemthethweni	za[PossConc10]-s[PreLoc-s]-e[LocPre]-u[NPrePre3]-m[BPre3]-thetho[NStem]-ini[LocSuf]
ezilandelayo	ezi[RelConc8]-landel[VRoot]-a[VerbTerm]-yo[RelSuf]
zokulungisa	za[PossConc10]-u[NPrePre15]-ku[BPre15]-lungis[VRoot]-a[VerbTerm]
<LINE 94>
iqumrhu	i[NPrePre5]-li[BPre5]-qumrhu[NStem]
labantu	la[PossConc5]-a[NPrePre2]-ba[BPre2]-ntu[NStem]
:	:[Punc]
Faka	fak[VRoot]-a[VerbTerm]
ikopi	i[NPrePre9]-kopi[NStem]
yomgaqo-siseko	ya[PossConc9]-u[NPrePre3]-m[BPre3]-gaqo[NStem]-si[BPre7]-seko[NStem]
wakutshanje	wa[PossConc3]-ku[AdvPre]-tsha[AdjStem]-nje[Adv]
.	.[Punc]
<LINE 95>
Imibutho	i[NPrePre4]-mi[BPre4]-butho[NStem]
esekwe	e[RelConc4]-sek[VRoot]-w[PassExt]-e[VerbTerm]
ngenjongo	nga[AdvPre]-i[NPrePre9]-n[BPre9]-jongo[NStem]
ephambili	e[RelConc4]-phambili[Adv]
yokunika	ya[PossConc9]-u[NPrePre15]-ku[BPre15]-nik[VRoot]-a[VerbTerm]
izipho	i[NPrePre8]-zi[BPre8]-pho[NStem]
zemali	za[PossConc8]-i[NPrePre9]-mali[NStem]
yokufunda	ya[PossConc9]-u[NPrePre15]-ku[BPre15]-fund[VRoot]-a[VerbTerm]
